#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chr1	0	500000	0.484978	0.515022	119525	124962	132549	122964	0	0	500000
Chr1	500000	1000000	0.497996	0.502004	122319	121631	129371	126679	0	0	500000
Chr1	1000000	1500000	0.502042	0.497958	125397	125045	123934	125624	0	0	500000
Chr1	1500000	2000000	0.507424	0.491576	126579	122071	123717	127133	500	0	500000
Chr1	2000000	2500000	0.509620	0.490380	125409	123977	121213	129401	0	0	500000
Chr1	2500000	3000000	0.522818	0.476182	130050	118887	119204	131359	500	0	500000
Chr1	3000000	3500000	0.515464	0.484536	128953	120902	121366	128779	0	0	500000
Chr1	3500000	4000000	0.505710	0.494290	124638	124207	122938	128217	0	0	500000
Chr1	4000000	4500000	0.522550	0.477450	130673	118924	119801	130602	0	0	500000
Chr1	4500000	5000000	0.525028	0.474972	127919	117223	120263	134595	0	0	500000
Chr1	5000000	5500000	0.520880	0.477120	127384	117413	121147	133056	1000	0	500000
Chr1	5500000	6000000	0.517250	0.482750	124765	122556	118819	133860	0	0	500000
Chr1	6000000	6500000	0.523362	0.476638	132275	119850	118469	129406	0	0	500000
Chr1	6500000	7000000	0.506894	0.492106	128167	121850	124203	125280	500	0	500000
Chr1	7000000	7500000	0.515974	0.483026	128714	121241	120272	129273	500	0	500000
Chr1	7500000	8000000	0.511606	0.488394	125847	122775	121422	129956	0	0	500000
Chr1	8000000	8500000	0.512410	0.487590	127874	121470	122325	128331	0	0	500000
Chr1	8500000	9000000	0.515608	0.484392	128912	120170	122026	128892	0	0	500000
Chr1	9000000	9500000	0.512610	0.486390	128962	121859	121336	127343	500	0	500000
Chr1	9500000	10000000	0.504802	0.494198	126644	123751	123348	125757	500	0	500000
Chr1	10000000	10500000	0.518248	0.481752	133234	118623	122253	125890	0	0	500000
Chr1	10500000	11000000	0.509916	0.489084	126794	121749	122793	128164	500	0	500000
Chr1	11000000	11500000	0.507676	0.492324	125719	124031	122131	128119	0	0	500000
Chr1	11500000	12000000	0.510872	0.489128	127377	121444	123120	128059	0	0	500000
Chr1	12000000	12500000	0.529868	0.470132	131905	116631	118435	133029	0	0	500000
Chr1	12500000	13000000	0.529946	0.469054	136758	117594	116933	128215	500	0	500000
Chr1	13000000	13500000	0.518888	0.479112	130714	120259	119297	128730	1000	0	500000
